Date,Open,High,Low,Close,Adj Close,Volume
2001-07-23,101.051628,102.246651,100.669212,101.195030,60.314636,6606222
2001-07-24,100.239006,101.481834,99.225624,99.913956,59.551090,7635591
2001-07-25,99.904396,101.051628,98.212234,100.277245,59.767632,6534990
2001-07-26,100.143402,101.338432,98.403442,101.338432,60.400089,8816420
2001-07-27,100.143402,101.290634,99.531548,100.095604,59.659351,4546439
2001-07-30,100.286804,101.577438,100.152962,101.195030,60.314636,4216217
2001-07-31,101.242828,102.294456,100.525810,100.583176,59.949963,5860738
2001-08-01,100.717018,103.728493,100.678780,102.351814,61.004112,6313761
2001-08-02,103.728493,104.655830,102.495216,104.015297,61.995579,5936155
2001-08-03,103.059273,105.248566,102.390060,103.422562,61.642277,3874489
2001-08-06,102.533463,102.648186,101.137665,101.826004,60.690720,4368933
2001-08-07,101.147224,102.648186,100.630974,101.577438,60.542557,4214648
2001-08-08,100.382408,101.434036,99.521988,99.608032,59.447071,6692308
2001-08-09,99.139580,99.942642,98.183556,99.502869,59.384315,7074307
2001-08-10,99.282982,100.334610,98.288719,100.334610,59.880711,5496521
2001-08-13,100.382408,101.950287,100.047798,101.204590,60.399910,6301522
2001-08-14,101.816444,102.151054,100.764816,101.529640,60.593918,5993789
2001-08-15,101.673042,101.902489,100.391968,100.391968,59.914948,4929693
2001-08-16,99.617592,101.357552,99.101341,101.099426,60.337135,6501099
2001-08-17,100.850861,100.850861,99.330788,99.990440,59.675282,7328485
2001-08-20,100.076485,100.382408,98.279160,99.521988,59.395725,5870884
2001-08-21,99.282982,100.353729,96.940727,97.409180,58.134769,6815631
2001-08-22,97.992355,99.464630,97.284897,99.388145,59.315853,8398334
2001-08-23,99.426384,100.095604,98.470360,98.470360,58.768112,5726118
2001-08-24,99.378586,103.059273,98.862335,102.284897,61.044636,8066647
2001-08-27,102.284897,103.441681,101.950287,102.160614,60.970509,4749781
2001-08-28,102.198853,102.456978,100.258125,100.334610,59.880711,6075273
2001-08-29,101.099426,101.242828,99.254303,99.550667,59.412838,5062954
2001-08-30,98.231361,98.852776,94.512428,95.946465,57.261826,15706213
2001-08-31,96.558319,96.902489,94.875717,95.554497,57.027851,8500424
2001-09-04,95.745697,98.594643,94.923515,97.026772,57.906548,10346823
2001-09-05,97.036331,98.307838,95.229446,95.936905,57.256104,12427212
2001-09-06,96.252388,96.252388,93.355644,93.690247,55.915295,9459083
2001-09-07,93.594643,93.833649,91.778206,92.342255,55.110786,10990322
2001-09-10,91.778206,93.116638,91.386230,92.227531,55.042309,10785829
